time	V(vin)	V(vout)
1.810360056945956e-003	2.163793e+001	2.029251e+000
1.820360056945956e-003	2.163593e+001	2.029249e+000
1.830360056945956e-003	2.163393e+001	2.029248e+000
1.840360056945956e-003	2.163193e+001	2.029246e+000
1.850360056945956e-003	2.162993e+001	2.029244e+000
1.870360056945956e-003	2.162593e+001	2.029241e+000
1.880360056945956e-003	2.162393e+001	2.029239e+000
1.890360056945956e-003	2.162193e+001	2.029238e+000
1.900360056945956e-003	2.161993e+001	2.029236e+000
1.910360056945956e-003	2.161793e+001	2.029234e+000
1.920360056945956e-003	2.161593e+001	2.029233e+000
1.930360056945956e-003	2.161393e+001	2.029231e+000
1.940360056945956e-003	2.161193e+001	2.029229e+000
1.950360056945956e-003	2.160993e+001	2.029228e+000
1.960360056945956e-003	2.160793e+001	2.029226e+000
1.970360056945956e-003	2.160593e+001	2.029224e+000
1.990360056945956e-003	2.160193e+001	2.029221e+000
2.000360056945956e-003	2.159993e+001	2.029219e+000
2.010360056945956e-003	2.159793e+001	2.029217e+000
2.020360056945956e-003	2.159593e+001	2.029216e+000
2.040360056945956e-003	2.159193e+001	2.029212e+000
2.050360056945956e-003	2.158993e+001	2.029211e+000
2.060360056945956e-003	2.158793e+001	2.029209e+000
2.070360056945956e-003	2.158593e+001	2.029207e+000
2.080360056945956e-003	2.158393e+001	2.029206e+000
2.090360056945956e-003	2.158193e+001	2.029204e+000
2.110360056945956e-003	2.157793e+001	2.029201e+000
2.120360056945956e-003	2.157593e+001	2.029199e+000
2.130360056945956e-003	2.157393e+001	2.029197e+000
2.140360056945956e-003	2.157193e+001	2.029196e+000
2.160360056945956e-003	2.156793e+001	2.029192e+000
2.180360056945956e-003	2.156393e+001	2.029189e+000
2.190360056945956e-003	2.156193e+001	2.029187e+000
2.210360056945956e-003	2.155793e+001	2.029184e+000
2.230360056945956e-003	2.155393e+001	2.029181e+000
2.250360056945957e-003	2.154993e+001	2.029177e+000
2.260360056945957e-003	2.154793e+001	2.029176e+000
2.280360056945957e-003	2.154393e+001	2.029172e+000
2.300360056945957e-003	2.153993e+001	2.029169e+000
2.320360056945957e-003	2.153593e+001	2.029166e+000
9.530360056945733e-003	2.009393e+001	2.027940e+000
9.990360056945714e-003	2.000193e+001	2.027861e+000
1.000000000000000e-002	2.077892e+001	2.028091e+000
1.000273600752810e-002	2.171397e+001	2.028245e+000
1.000382916645794e-002	2.199923e+001	2.028324e+000
1.000423118632842e-002	2.199915e+001	2.028355e+000
1.000438424022175e-002	2.199912e+001	2.028362e+000
1.000444224608682e-002	2.199911e+001	2.028379e+000
1.000446436411676e-002	2.199911e+001	2.028359e+000
1.000447286923666e-002	2.199911e+001	2.028384e+000
1.000447620625264e-002	2.199911e+001	2.028374e+000
1.000447782755248e-002	2.199910e+001	2.028378e+000
1.000447867420518e-002	2.199910e+001	2.028376e+000
1.000447950975640e-002	2.199910e+001	2.028371e+000
1.000448042278921e-002	2.199910e+001	2.028373e+000
1.000448098689801e-002	2.199910e+001	2.028373e+000
1.000448142893716e-002	2.199910e+001	2.028374e+000
1.000448179960813e-002	2.199910e+001	2.028373e+000
1.000448218478403e-002	2.199910e+001	2.028374e+000
1.000448258841346e-002	2.199910e+001	2.028374e+000
1.000448314157334e-002	2.199910e+001	2.028374e+000
1.000448401291635e-002	2.199910e+001	2.028374e+000
1.000448561599603e-002	2.199910e+001	2.028374e+000
1.000448882215539e-002	2.199910e+001	2.028375e+000
1.000449523447411e-002	2.199910e+001	2.028375e+000
1.000450805911156e-002	2.199910e+001	2.028376e+000
1.000453370838644e-002	2.199909e+001	2.028378e+000
1.000458500693621e-002	2.199908e+001	2.028382e+000
1.000465019506557e-002	2.199907e+001	2.028387e+000
1.000473443253608e-002	2.199905e+001	2.028394e+000
1.000486054863177e-002	2.199903e+001	2.028404e+000
1.000499716876998e-002	2.199900e+001	2.028415e+000
1.000527040904639e-002	2.199895e+001	2.028437e+000
1.000561018510025e-002	2.199888e+001	2.028464e+000
1.000628973720797e-002	2.199874e+001	2.028519e+000
1.000760100671554e-002	2.199848e+001	2.028621e+000
1.000908716548900e-002	2.199818e+001	2.028728e+000
1.001178510998404e-002	2.199764e+001	2.028893e+000
1.001534632909059e-002	2.199693e+001	2.029058e+000
1.002018959760484e-002	2.199596e+001	2.029223e+000
1.002509718823926e-002	2.199498e+001	2.029364e+000
1.003021622734817e-002	2.199396e+001	2.029504e+000
1.003418775956326e-002	2.199316e+001	2.029596e+000
1.003885881248054e-002	2.199223e+001	2.029668e+000
1.004381286456877e-002	2.199124e+001	2.029702e+000
1.004991804482405e-002	2.199002e+001	2.029717e+000
1.005558814481487e-002	2.198888e+001	2.029727e+000
1.006013034462605e-002	2.198797e+001	2.029735e+000
1.006611981194651e-002	2.198678e+001	2.029732e+000
1.007311505331054e-002	2.198538e+001	2.029706e+000
1.007945121213848e-002	2.198411e+001	2.029674e+000
1.008662079944551e-002	2.198268e+001	2.029643e+000
1.009219216386264e-002	2.198156e+001	2.029623e+000
1.009882255636378e-002	2.198024e+001	2.029595e+000
1.010508273386573e-002	2.197898e+001	2.029565e+000
1.011264944473353e-002	2.197747e+001	2.029537e+000
1.012007829247894e-002	2.197598e+001	2.029521e+000
1.012843562157676e-002	2.197431e+001	2.029508e+000
1.013661486646840e-002	2.197268e+001	2.029496e+000
1.014525111999354e-002	2.197095e+001	2.029492e+000
1.015525111999354e-002	2.196895e+001	2.029499e+000
1.016444089625305e-002	2.196711e+001	2.029504e+000
1.017444089625305e-002	2.196511e+001	2.029508e+000
1.018382113818238e-002	2.196324e+001	2.029515e+000
1.019382113818238e-002	2.196124e+001	2.029522e+000
1.020382113818238e-002	2.195924e+001	2.029523e+000
1.021382113818238e-002	2.195724e+001	2.029523e+000
1.022382113818238e-002	2.195524e+001	2.029525e+000
1.023382113818238e-002	2.195324e+001	2.029522e+000
1.024382113818238e-002	2.195124e+001	2.029517e+000
1.025382113818238e-002	2.194924e+001	2.029515e+000
1.026382113818238e-002	2.194724e+001	2.029513e+000
1.027382113818238e-002	2.194524e+001	2.029509e+000
1.028382113818238e-002	2.194324e+001	2.029506e+000
1.029382113818238e-002	2.194124e+001	2.029505e+000
1.030382113818238e-002	2.193924e+001	2.029503e+000
1.031382113818237e-002	2.193723e+001	2.029500e+000
1.032382113818237e-002	2.193524e+001	2.029500e+000
1.033382113818237e-002	2.193324e+001	2.029499e+000
1.034382113818237e-002	2.193124e+001	2.029496e+000
1.035382113818237e-002	2.192924e+001	2.029495e+000
