rl	V(vout)	-I(Rl)
3.770000000099964e+000	2.007106e+000	5.323888e-001
3.780000000099963e+000	2.007106e+000	5.309804e-001
3.790000000099963e+000	2.007106e+000	5.295795e-001
3.800000000099963e+000	2.007106e+000	5.281858e-001
3.810000000099963e+000	2.007106e+000	5.267994e-001
3.820000000099963e+000	2.007106e+000	5.254205e-001
3.830000000099962e+000	2.007107e+000	5.240487e-001
3.840000000099962e+000	2.007107e+000	5.226840e-001
3.850000000099962e+000	2.007107e+000	5.213264e-001
3.860000000099962e+000	2.007107e+000	5.199758e-001
3.870000000099962e+000	2.007107e+000	5.186322e-001
3.880000000099961e+000	2.007107e+000	5.172956e-001
3.890000000099961e+000	2.007107e+000	5.159658e-001
3.900000000099961e+000	2.007107e+000	5.146428e-001
3.910000000099961e+000	2.007107e+000	5.133266e-001
3.920000000099960e+000	2.007107e+000	5.120172e-001
3.930000000099960e+000	2.007049e+000	5.106995e-001
3.940000000099960e+000	2.007107e+000	5.094181e-001
3.950000000099960e+000	2.007107e+000	5.081285e-001
3.960000000099960e+000	2.007108e+000	5.068454e-001
3.970000000099959e+000	2.007108e+000	5.055687e-001
3.980000000099959e+000	2.007108e+000	5.042984e-001
3.990000000099959e+000	2.007108e+000	5.030345e-001
4.000000000099959e+000	2.007052e+000	5.017630e-001
4.010000000099959e+000	2.007108e+000	5.005257e-001
4.020000000099959e+000	2.007108e+000	4.992806e-001
4.030000000099959e+000	2.007108e+000	4.980417e-001
4.040000000099958e+000	2.007108e+000	4.968090e-001
4.050000000099958e+000	2.007050e+000	4.955679e-001
4.060000000099958e+000	2.007108e+000	4.943617e-001
4.070000000099958e+000	2.007109e+000	4.931471e-001
4.080000000099957e+000	2.007109e+000	4.919384e-001
4.090000000099957e+000	2.007109e+000	4.907357e-001
4.100000000099957e+000	2.007109e+000	4.895387e-001
4.110000000099957e+000	2.007109e+000	4.883477e-001
4.120000000099957e+000	2.007109e+000	4.871624e-001
4.130000000099956e+000	2.007109e+000	4.859827e-001
4.140000000099956e+000	2.007109e+000	4.848090e-001
4.150000000099956e+000	2.007109e+000	4.836408e-001
4.160000000099956e+000	2.007059e+000	4.824661e-001
4.170000000099956e+000	2.007109e+000	4.813212e-001
4.180000000099955e+000	2.007109e+000	4.801697e-001
4.190000000099955e+000	2.007110e+000	4.790238e-001
4.200000000099955e+000	2.007110e+000	4.778832e-001
4.210000000099955e+000	2.007110e+000	4.767481e-001
4.220000000099955e+000	2.007110e+000	4.756185e-001
4.230000000099954e+000	2.007110e+000	4.744941e-001
4.240000000099954e+000	2.007110e+000	4.733749e-001
4.250000000099954e+000	2.007110e+000	4.722612e-001
4.260000000099954e+000	2.007110e+000	4.711526e-001
4.270000000099953e+000	2.007110e+000	4.700492e-001
4.280000000099953e+000	2.007110e+000	4.689510e-001
4.290000000099953e+000	2.007110e+000	4.678579e-001
4.300000000099953e+000	2.007110e+000	4.667698e-001
4.310000000099953e+000	2.007111e+000	4.656869e-001
4.320000000099952e+000	2.007111e+000	4.646089e-001
4.330000000099952e+000	2.007111e+000	4.635360e-001
4.340000000099952e+000	2.007111e+000	4.624679e-001
4.350000000099952e+000	2.007111e+000	4.614048e-001
4.360000000099952e+000	2.007111e+000	4.603465e-001
4.370000000099951e+000	2.007111e+000	4.592931e-001
4.380000000099951e+000	2.007111e+000	4.582445e-001
4.390000000099951e+000	2.007111e+000	4.572007e-001
4.400000000099951e+000	2.007111e+000	4.561616e-001
4.410000000099950e+000	2.007111e+000	4.551273e-001
4.420000000099950e+000	2.007111e+000	4.540976e-001
4.430000000099950e+000	2.007112e+000	4.530726e-001
4.440000000099950e+000	2.007112e+000	4.520521e-001
4.450000000099950e+000	2.007112e+000	4.510363e-001
4.460000000099949e+000	2.007112e+000	4.500251e-001
4.470000000099949e+000	2.007112e+000	4.490183e-001
4.480000000099949e+000	2.007112e+000	4.480160e-001
4.490000000099949e+000	2.007112e+000	4.470182e-001
4.500000000099949e+000	2.007112e+000	4.460249e-001
4.510000000099948e+000	2.007112e+000	4.450359e-001
4.520000000099948e+000	2.007112e+000	4.440514e-001
4.530000000099948e+000	2.007112e+000	4.430711e-001
4.540000000099948e+000	2.007112e+000	4.420952e-001
4.550000000099947e+000	2.007112e+000	4.411236e-001
4.560000000099947e+000	2.007113e+000	4.401562e-001
4.570000000099947e+000	2.007113e+000	4.391931e-001
4.580000000099947e+000	2.007113e+000	4.382342e-001
4.590000000099947e+000	2.007113e+000	4.372794e-001
4.600000000099946e+000	2.007113e+000	4.363288e-001
4.610000000099946e+000	2.007113e+000	4.353824e-001
4.620000000099946e+000	2.007113e+000	4.344400e-001
4.630000000099946e+000	2.007113e+000	4.335017e-001
4.640000000099946e+000	2.007113e+000	4.325674e-001
4.650000000099945e+000	2.007113e+000	4.316372e-001
4.660000000099945e+000	2.007113e+000	4.307110e-001
4.670000000099945e+000	2.007113e+000	4.297887e-001
4.680000000099945e+000	2.007113e+000	4.288704e-001
4.690000000099944e+000	2.007113e+000	4.279559e-001
4.700000000099944e+000	2.007113e+000	4.270454e-001
4.710000000099944e+000	2.007113e+000	4.261387e-001
4.720000000099944e+000	2.007113e+000	4.252359e-001
4.730000000099944e+000	2.007113e+000	4.243369e-001
4.740000000099943e+000	2.007114e+000	4.234417e-001
4.750000000099943e+000	2.007114e+000	4.225503e-001
4.760000000099943e+000	2.007114e+000	4.216625e-001
4.770000000099943e+000	2.007114e+000	4.207786e-001
4.780000000099943e+000	2.007114e+000	4.198983e-001
4.790000000099942e+000	2.007114e+000	4.190217e-001
4.800000000099942e+000	2.007114e+000	4.181488e-001
4.810000000099942e+000	2.007114e+000	4.172794e-001
4.820000000099942e+000	2.007114e+000	4.164137e-001
4.830000000099942e+000	2.007114e+000	4.155516e-001
4.840000000099941e+000	2.007114e+000	4.146930e-001
4.850000000099941e+000	2.007114e+000	4.138380e-001
4.860000000099941e+000	2.007114e+000	4.129865e-001
4.870000000099941e+000	2.007114e+000	4.121385e-001
4.880000000099940e+000	2.007114e+000	4.112940e-001
