rl	V(current_feedback)	V(voltage_feedback)	V(vout)	-I(Rl)
2.360000000099994e+000	1.025119e+000	5.087813e-001	4.836780e+000	2.049483e+000
2.370000000099994e+000	1.025109e+000	5.108194e-001	4.857229e+000	2.049464e+000
2.380000000099993e+000	1.025099e+000	5.128574e-001	4.877678e+000	2.049445e+000
2.390000000099993e+000	1.025089e+000	5.148954e-001	4.898128e+000	2.049426e+000
2.400000000099993e+000	1.025079e+000	5.169333e-001	4.918576e+000	2.049407e+000
2.410000000099993e+000	1.025068e+000	5.189713e-001	4.939024e+000	2.049388e+000
2.420000000099992e+000	1.025058e+000	5.210091e-001	4.959472e+000	2.049369e+000
2.430000000099992e+000	1.025048e+000	5.230470e-001	4.979919e+000	2.049350e+000
2.440000000099992e+000	1.025038e+000	5.250848e-001	5.000367e+000	2.049331e+000
2.450000000099992e+000	1.025028e+000	5.271226e-001	5.020813e+000	2.049312e+000
2.460000000099992e+000	1.025017e+000	5.291603e-001	5.041260e+000	2.049293e+000
2.470000000099991e+000	1.025007e+000	5.311980e-001	5.061706e+000	2.049274e+000
2.480000000099991e+000	1.024997e+000	5.332357e-001	5.082152e+000	2.049255e+000
2.490000000099991e+000	1.024987e+000	5.352734e-001	5.102597e+000	2.049236e+000
2.500000000099991e+000	1.024977e+000	5.373110e-001	5.123042e+000	2.049217e+000
2.510000000099991e+000	1.024966e+000	5.393485e-001	5.143486e+000	2.049198e+000
2.520000000099990e+000	1.024956e+000	5.413861e-001	5.163931e+000	2.049179e+000
2.530000000099990e+000	1.024946e+000	5.434235e-001	5.184375e+000	2.049160e+000
2.540000000099990e+000	1.024936e+000	5.454610e-001	5.204818e+000	2.049141e+000
2.550000000099990e+000	1.024926e+000	5.474984e-001	5.225261e+000	2.049122e+000
2.560000000099989e+000	1.024916e+000	5.495358e-001	5.245704e+000	2.049103e+000
2.570000000099989e+000	1.024905e+000	5.515732e-001	5.266147e+000	2.049084e+000
2.580000000099989e+000	1.024895e+000	5.536105e-001	5.286589e+000	2.049065e+000
2.590000000099989e+000	1.024885e+000	5.556478e-001	5.307030e+000	2.049047e+000
2.600000000099989e+000	1.024875e+000	5.576850e-001	5.327472e+000	2.049027e+000
2.610000000099988e+000	1.024865e+000	5.597222e-001	5.347912e+000	2.049009e+000
2.620000000099988e+000	1.024855e+000	5.617594e-001	5.368353e+000	2.048990e+000
2.630000000099988e+000	1.024845e+000	5.637965e-001	5.388793e+000	2.048971e+000
2.640000000099988e+000	1.024834e+000	5.658336e-001	5.409233e+000	2.048952e+000
2.650000000099988e+000	1.024824e+000	5.678707e-001	5.429673e+000	2.048933e+000
2.660000000099987e+000	1.024814e+000	5.699077e-001	5.450112e+000	2.048914e+000
2.670000000099987e+000	1.024804e+000	5.719447e-001	5.470551e+000	2.048895e+000
2.680000000099987e+000	1.024794e+000	5.739817e-001	5.490989e+000	2.048877e+000
2.690000000099987e+000	1.024784e+000	5.760186e-001	5.511427e+000	2.048858e+000
2.700000000099986e+000	1.024774e+000	5.780555e-001	5.531865e+000	2.048839e+000
2.710000000099986e+000	1.024763e+000	5.800924e-001	5.552302e+000	2.048820e+000
2.720000000099986e+000	1.024753e+000	5.821292e-001	5.572739e+000	2.048801e+000
2.730000000099986e+000	1.024743e+000	5.841660e-001	5.593176e+000	2.048782e+000
2.740000000099986e+000	1.024733e+000	5.862027e-001	5.613612e+000	2.048764e+000
2.750000000099985e+000	1.024723e+000	5.882394e-001	5.634048e+000	2.048745e+000
2.760000000099985e+000	1.024713e+000	5.902761e-001	5.654483e+000	2.048726e+000
2.770000000099985e+000	1.024703e+000	5.923128e-001	5.674919e+000	2.048707e+000
2.780000000099985e+000	1.024693e+000	5.943494e-001	5.695354e+000	2.048688e+000
2.790000000099985e+000	1.024683e+000	5.963860e-001	5.715788e+000	2.048670e+000
2.800000000099984e+000	1.024673e+000	5.984225e-001	5.736222e+000	2.048651e+000
2.810000000099984e+000	1.024662e+000	6.004590e-001	5.756656e+000	2.048632e+000
2.820000000099984e+000	1.024652e+000	6.024955e-001	5.777089e+000	2.048613e+000
2.830000000099984e+000	1.024642e+000	6.045319e-001	5.797522e+000	2.048594e+000
2.840000000099983e+000	1.024632e+000	6.065683e-001	5.817955e+000	2.048576e+000
2.850000000099983e+000	1.024622e+000	6.086047e-001	5.838387e+000	2.048557e+000
2.860000000099983e+000	1.024612e+000	6.106410e-001	5.858819e+000	2.048538e+000
2.870000000099983e+000	1.024602e+000	6.126773e-001	5.879251e+000	2.048519e+000
2.880000000099983e+000	1.024592e+000	6.147135e-001	5.899682e+000	2.048501e+000
2.890000000099982e+000	1.024582e+000	6.167498e-001	5.920113e+000	2.048482e+000
2.900000000099982e+000	1.024572e+000	6.187860e-001	5.940543e+000	2.048463e+000
2.910000000099982e+000	1.024562e+000	6.208221e-001	5.960973e+000	2.048444e+000
2.920000000099982e+000	1.024552e+000	6.228582e-001	5.981403e+000	2.048426e+000
2.930000000099982e+000	1.024542e+000	6.248943e-001	6.001832e+000	2.048407e+000
2.940000000099981e+000	1.024531e+000	6.269304e-001	6.022262e+000	2.048388e+000
2.950000000099981e+000	1.024521e+000	6.289664e-001	6.042690e+000	2.048370e+000
2.960000000099981e+000	1.024511e+000	6.310024e-001	6.063118e+000	2.048351e+000
2.970000000099981e+000	1.024501e+000	6.330383e-001	6.083547e+000	2.048332e+000
2.980000000099981e+000	1.024491e+000	6.350742e-001	6.103974e+000	2.048313e+000
2.990000000099980e+000	1.024481e+000	6.371101e-001	6.124402e+000	2.048295e+000
3.000000000099980e+000	1.024471e+000	6.391459e-001	6.144828e+000	2.048276e+000
3.010000000099980e+000	1.024461e+000	6.411817e-001	6.165255e+000	2.048257e+000
3.020000000099980e+000	1.024451e+000	6.432175e-001	6.185681e+000	2.048239e+000
3.030000000099979e+000	1.024441e+000	6.452532e-001	6.206107e+000	2.048220e+000
3.040000000099979e+000	1.024431e+000	6.472889e-001	6.226532e+000	2.048202e+000
3.050000000099979e+000	1.024421e+000	6.493246e-001	6.246958e+000	2.048183e+000
3.060000000099979e+000	1.024411e+000	6.513602e-001	6.267382e+000	2.048164e+000
3.070000000099979e+000	1.024401e+000	6.533958e-001	6.287807e+000	2.048146e+000
3.080000000099978e+000	1.024391e+000	6.554314e-001	6.308231e+000	2.048127e+000
3.090000000099978e+000	1.024381e+000	6.574669e-001	6.328655e+000	2.048108e+000
3.100000000099978e+000	1.024371e+000	6.595024e-001	6.349078e+000	2.048090e+000
3.110000000099978e+000	1.024361e+000	6.615378e-001	6.369501e+000	2.048071e+000
3.120000000099978e+000	1.024351e+000	6.635733e-001	6.389924e+000	2.048053e+000
3.130000000099977e+000	1.024341e+000	6.656086e-001	6.410346e+000	2.048034e+000
3.140000000099977e+000	1.024331e+000	6.676440e-001	6.430768e+000	2.048015e+000
3.150000000099977e+000	1.024321e+000	6.696793e-001	6.451190e+000	2.047997e+000
3.160000000099977e+000	1.024311e+000	6.717146e-001	6.471611e+000	2.047978e+000
3.170000000099976e+000	1.024301e+000	6.737500e-001	6.492031e+000	2.047959e+000
3.180000000099976e+000	1.024291e+000	6.757851e-001	6.512452e+000	2.047941e+000
3.190000000099976e+000	1.024281e+000	6.778202e-001	6.532872e+000	2.047922e+000
3.200000000099976e+000	1.024271e+000	6.798553e-001	6.553292e+000	2.047904e+000
