Freq.	V(Vout,N004)/-I(V3)-V(n004)/I(Rl)
2.10862814993325e-001	(-2.52716000141318e+001dB,9.82739008335869e-004°)
2.11348903983661e-001	(-2.52716000141265e+001dB,9.85004455718126e-004°)
2.11836113524847e-001	(-2.52716000141205e+001dB,9.87275125495902e-004°)
2.12324446200018e-001	(-2.52716000141140e+001dB,9.89551029708021e-004°)
2.12813904598267e-001	(-2.52716000141086e+001dB,9.91832180421354e-004°)
2.13304491314654e-001	(-2.52716000141020e+001dB,9.94118589730032e-004°)
2.13796208950219e-001	(-2.52716000140960e+001dB,9.96410269756556e-004°)
2.14289060112002e-001	(-2.52716000140899e+001dB,9.98707232651139e-004°)
2.14783047413050e-001	(-2.52716000140838e+001dB,1.00100949059206e-003°)
2.15278173472433e-001	(-2.52716000140772e+001dB,1.00331705578558e-003°)
2.15774440915263e-001	(-2.52716000140704e+001dB,1.00562994046623e-003°)
2.16271852372698e-001	(-2.52716000140654e+001dB,1.00794815689693e-003°)
2.16770410481966e-001	(-2.52716000140586e+001dB,1.01027171736822e-003°)
2.17270117886371e-001	(-2.52716000140524e+001dB,1.01260063419960e-003°)
2.17770977235312e-001	(-2.52716000140467e+001dB,1.01493491973887e-003°)
2.18272991184296e-001	(-2.52716000140393e+001dB,1.01727458636184e-003°)
2.18776162394951e-001	(-2.52716000140335e+001dB,1.01961964647356e-003°)
2.19280493535041e-001	(-2.52716000140266e+001dB,1.02197011250703e-003°)
2.19785987278478e-001	(-2.52716000140214e+001dB,1.02432599692448e-003°)
2.20292646305342e-001	(-2.52716000140138e+001dB,1.02668731221612e-003°)
2.20800473301886e-001	(-2.52716000140080e+001dB,1.02905407090190e-003°)
2.21309470960560e-001	(-2.52716000140015e+001dB,1.03142628552984e-003°)
2.21819641980018e-001	(-2.52716000139944e+001dB,1.03380396867721e-003°)
2.22330989065136e-001	(-2.52716000139879e+001dB,1.03618713295038e-003°)
2.22843514927026e-001	(-2.52716000139814e+001dB,1.03857579098455e-003°)
2.23357222283049e-001	(-2.52716000139753e+001dB,1.04096995544426e-003°)
2.23872113856830e-001	(-2.52716000139676e+001dB,1.04336963902285e-003°)
2.24388192378272e-001	(-2.52716000139609e+001dB,1.04577485444352e-003°)
2.24905460583574e-001	(-2.52716000139554e+001dB,1.04818561445846e-003°)
2.25423921215239e-001	(-2.52716000139481e+001dB,1.05060193184903e-003°)
