time	V(vout)	V(n001)
8.074910014723503e-002	2.007551e+000	2.092509e+001
8.087195729009213e-002	2.007551e+000	2.091280e+001
8.099481443294922e-002	2.007551e+000	2.090052e+001
8.111767157580631e-002	2.007550e+000	2.088823e+001
8.124052871866341e-002	2.007549e+000	2.087595e+001
8.136338586152050e-002	2.007547e+000	2.086366e+001
8.154338586152043e-002	2.007545e+000	2.084566e+001
8.999000000000017e-002	2.007461e+000	2.000100e+001
9.000000000000016e-002	2.155731e+000	2.028957e+001
9.000726681978226e-002	2.332528e+000	2.075671e+001
9.001411404853281e-002	2.349763e+000	2.099859e+001
9.001991565206634e-002	2.303370e+000	2.099801e+001
9.002614837411170e-002	2.272518e+000	2.099739e+001
9.003341665559468e-002	2.225278e+000	2.099666e+001
9.004341665559468e-002	2.168484e+000	2.099566e+001
9.005341665559467e-002	2.108759e+000	2.099466e+001
9.006341665559467e-002	2.055888e+000	2.099366e+001
9.007341665559467e-002	2.013559e+000	2.099266e+001
9.008341665559466e-002	1.977548e+000	2.099166e+001
9.009341665559466e-002	1.940973e+000	2.099066e+001
9.010341665559465e-002	1.904001e+000	2.098966e+001
9.011341665559465e-002	1.868585e+000	2.098866e+001
9.012341665559465e-002	1.835356e+000	2.098766e+001
9.013341665559464e-002	1.803954e+000	2.098666e+001
9.014341665559464e-002	1.775811e+000	2.098566e+001
9.015341665559463e-002	1.775918e+000	2.098466e+001
9.016341665559463e-002	1.840751e+000	2.098366e+001
9.017341665559463e-002	1.941481e+000	2.098266e+001
9.018341665559462e-002	2.007990e+000	2.098166e+001
9.019341665559462e-002	2.024669e+000	2.098066e+001
9.020341665559462e-002	2.018748e+000	2.097966e+001
9.021341665559461e-002	2.010063e+000	2.097866e+001
9.022341665559461e-002	2.005267e+000	2.097766e+001
9.023341665559460e-002	2.004591e+000	2.097666e+001
9.024341665559460e-002	2.005929e+000	2.097566e+001
9.025341665559460e-002	2.007293e+000	2.097466e+001
9.026341665559459e-002	2.007912e+000	2.097366e+001
9.027341665559459e-002	2.007905e+000	2.097266e+001
9.028341665559458e-002	2.007676e+000	2.097166e+001
9.029341665559458e-002	2.007496e+000	2.097066e+001
9.030341665559458e-002	2.007439e+000	2.096966e+001
9.031341665559457e-002	2.007460e+000	2.096866e+001
9.032341665559457e-002	2.007501e+000	2.096766e+001
9.034341665559456e-002	2.007536e+000	2.096566e+001
9.036627379845169e-002	2.007537e+000	2.096337e+001
9.038913094130884e-002	2.007539e+000	2.096109e+001
