time	V(vin)	V(vout)
1.559209439468845e-002	2.094079e+001	2.028662e+000
1.560209439468845e-002	2.093979e+001	2.028661e+000
1.561209439468846e-002	2.093879e+001	2.028661e+000
1.562209439468846e-002	2.093779e+001	2.028660e+000
1.563209439468846e-002	2.093679e+001	2.028659e+000
1.564209439468847e-002	2.093579e+001	2.028658e+000
1.565209439468847e-002	2.093479e+001	2.028657e+000
1.566209439468847e-002	2.093379e+001	2.028656e+000
1.567209439468847e-002	2.093279e+001	2.028656e+000
1.568209439468848e-002	2.093179e+001	2.028655e+000
1.569209439468848e-002	2.093079e+001	2.028654e+000
1.570209439468848e-002	2.092979e+001	2.028653e+000
1.571209439468849e-002	2.092879e+001	2.028652e+000
1.572209439468849e-002	2.092779e+001	2.028651e+000
1.573209439468849e-002	2.092679e+001	2.028650e+000
1.574209439468850e-002	2.092579e+001	2.028650e+000
1.575209439468850e-002	2.092479e+001	2.028649e+000
1.576209439468850e-002	2.092379e+001	2.028648e+000
1.577209439468850e-002	2.092279e+001	2.028647e+000
1.578209439468851e-002	2.092179e+001	2.028646e+000
1.579209439468851e-002	2.092079e+001	2.028645e+000
1.580209439468851e-002	2.091979e+001	2.028644e+000
1.581209439468852e-002	2.091879e+001	2.028644e+000
1.582209439468852e-002	2.091779e+001	2.028643e+000
1.583209439468852e-002	2.091679e+001	2.028642e+000
1.584209439468853e-002	2.091579e+001	2.028641e+000
1.585209439468853e-002	2.091479e+001	2.028640e+000
1.586209439468853e-002	2.091379e+001	2.028639e+000
1.587209439468854e-002	2.091279e+001	2.028638e+000
1.588209439468854e-002	2.091179e+001	2.028638e+000
1.589209439468854e-002	2.091079e+001	2.028637e+000
1.590209439468854e-002	2.090979e+001	2.028636e+000
1.591209439468855e-002	2.090879e+001	2.028635e+000
1.592209439468855e-002	2.090779e+001	2.028634e+000
1.593209439468855e-002	2.090679e+001	2.028633e+000
1.594209439468856e-002	2.090579e+001	2.028632e+000
1.595209439468856e-002	2.090479e+001	2.028632e+000
1.596209439468856e-002	2.090379e+001	2.028631e+000
1.597209439468857e-002	2.090279e+001	2.028630e+000
1.598209439468857e-002	2.090179e+001	2.028629e+000
1.599209439468857e-002	2.090079e+001	2.028628e+000
1.600209439468858e-002	2.089979e+001	2.028627e+000
1.601209439468858e-002	2.089879e+001	2.028626e+000
1.602209439468858e-002	2.089779e+001	2.028626e+000
1.603209439468858e-002	2.089679e+001	2.028625e+000
1.604209439468859e-002	2.089579e+001	2.028624e+000
1.605209439468859e-002	2.089479e+001	2.028623e+000
1.606209439468859e-002	2.089379e+001	2.028622e+000
1.607209439468860e-002	2.089279e+001	2.028621e+000
1.608209439468860e-002	2.089179e+001	2.028621e+000
1.609209439468860e-002	2.089079e+001	2.028620e+000
1.610209439468861e-002	2.088979e+001	2.028619e+000
1.611209439468861e-002	2.088879e+001	2.028618e+000
1.612209439468861e-002	2.088779e+001	2.028617e+000
1.613209439468862e-002	2.088679e+001	2.028616e+000
1.614209439468862e-002	2.088579e+001	2.028615e+000
1.615209439468862e-002	2.088479e+001	2.028615e+000
1.616209439468862e-002	2.088379e+001	2.028614e+000
1.617209439468863e-002	2.088279e+001	2.028613e+000
1.618209439468863e-002	2.088179e+001	2.028612e+000
1.619209439468863e-002	2.088079e+001	2.028611e+000
1.620209439468864e-002	2.087979e+001	2.028610e+000
1.621209439468864e-002	2.087879e+001	2.028610e+000
1.622209439468864e-002	2.087779e+001	2.028609e+000
1.623209439468865e-002	2.087679e+001	2.028608e+000
1.624209439468865e-002	2.087579e+001	2.028607e+000
1.625209439468865e-002	2.087479e+001	2.028606e+000
1.626209439468866e-002	2.087379e+001	2.028605e+000
1.627209439468866e-002	2.087279e+001	2.028605e+000
1.628209439468866e-002	2.087179e+001	2.028604e+000
1.629209439468866e-002	2.087079e+001	2.028603e+000
1.630209439468867e-002	2.086979e+001	2.028602e+000
1.631209439468867e-002	2.086879e+001	2.028601e+000
1.632209439468867e-002	2.086779e+001	2.028600e+000
1.633209439468868e-002	2.086679e+001	2.028600e+000
1.634209439468868e-002	2.086579e+001	2.028599e+000
1.635209439468868e-002	2.086479e+001	2.028598e+000
1.636209439468869e-002	2.086379e+001	2.028597e+000
1.637209439468869e-002	2.086279e+001	2.028596e+000
1.638209439468869e-002	2.086179e+001	2.028595e+000
1.639209439468869e-002	2.086079e+001	2.028594e+000
1.640209439468870e-002	2.085979e+001	2.028594e+000
1.641209439468870e-002	2.085879e+001	2.028593e+000
1.642209439468870e-002	2.085779e+001	2.028592e+000
1.643209439468871e-002	2.085679e+001	2.028591e+000
1.644209439468871e-002	2.085579e+001	2.028590e+000
1.645209439468871e-002	2.085479e+001	2.028589e+000
1.646209439468872e-002	2.085379e+001	2.028588e+000
1.647209439468872e-002	2.085279e+001	2.028588e+000
1.648209439468872e-002	2.085179e+001	2.028587e+000
1.649209439468873e-002	2.085079e+001	2.028586e+000
1.650209439468873e-002	2.084979e+001	2.028585e+000
1.651209439468873e-002	2.084879e+001	2.028584e+000
