rl	V(vout)	-I(Rl)
4.080000000099957e+000	2.027625e+000	4.969668e-001
4.090000000099957e+000	2.027647e+000	4.957572e-001
4.100000000099957e+000	2.027625e+000	4.945427e-001
4.110000000099957e+000	2.027626e+000	4.933395e-001
4.120000000099957e+000	2.027626e+000	4.921422e-001
4.130000000099956e+000	2.027626e+000	4.909506e-001
4.140000000099956e+000	2.027736e+000	4.897913e-001
4.150000000099956e+000	2.027627e+000	4.885848e-001
4.160000000099956e+000	2.027825e+000	4.874580e-001
4.170000000099956e+000	2.027627e+000	4.862415e-001
4.180000000099955e+000	2.027628e+000	4.850784e-001
4.190000000099955e+000	2.027629e+000	4.839209e-001
4.200000000099955e+000	2.027628e+000	4.827686e-001
4.210000000099955e+000	2.027628e+000	4.816220e-001
4.220000000099955e+000	2.027629e+000	4.804808e-001
4.230000000099954e+000	2.027629e+000	4.793449e-001
4.240000000099954e+000	2.027629e+000	4.782145e-001
4.250000000099954e+000	2.027630e+000	4.770893e-001
4.260000000099954e+000	2.027644e+000	4.759727e-001
4.270000000099953e+000	2.027630e+000	4.748549e-001
4.280000000099953e+000	2.027631e+000	4.737455e-001
4.290000000099953e+000	2.027631e+000	4.726412e-001
4.300000000099953e+000	2.027631e+000	4.715421e-001
4.310000000099953e+000	2.027632e+000	4.704481e-001
4.320000000099952e+000	2.027632e+000	4.693592e-001
4.330000000099952e+000	2.027632e+000	4.682753e-001
4.340000000099952e+000	2.027632e+000	4.671964e-001
4.350000000099952e+000	2.027632e+000	4.661224e-001
4.360000000099952e+000	2.027633e+000	4.650534e-001
4.370000000099951e+000	2.027633e+000	4.639893e-001
4.380000000099951e+000	2.027633e+000	4.629300e-001
4.390000000099951e+000	2.027634e+000	4.618756e-001
4.400000000099951e+000	2.027634e+000	4.608259e-001
4.410000000099950e+000	2.027634e+000	4.597810e-001
4.420000000099950e+000	2.027634e+000	4.587408e-001
4.430000000099950e+000	2.027635e+000	4.577054e-001
4.440000000099950e+000	2.027635e+000	4.566745e-001
4.450000000099950e+000	2.027635e+000	4.556484e-001
4.460000000099949e+000	2.027636e+000	4.546268e-001
4.470000000099949e+000	2.027636e+000	4.536098e-001
4.480000000099949e+000	2.027636e+000	4.525973e-001
4.490000000099949e+000	2.027636e+000	4.515894e-001
4.500000000099949e+000	2.027637e+000	4.505859e-001
4.510000000099948e+000	2.027637e+000	4.495869e-001
4.520000000099948e+000	2.027637e+000	4.485923e-001
4.530000000099948e+000	2.027637e+000	4.476021e-001
4.540000000099948e+000	2.027638e+000	4.466164e-001
4.550000000099947e+000	2.027673e+000	4.456424e-001
4.560000000099947e+000	2.027638e+000	4.446575e-001
4.570000000099947e+000	2.027638e+000	4.436845e-001
4.580000000099947e+000	2.027643e+000	4.427168e-001
4.590000000099947e+000	2.027639e+000	4.417514e-001
4.600000000099946e+000	2.027639e+000	4.407911e-001
4.610000000099946e+000	2.027644e+000	4.398360e-001
4.620000000099946e+000	2.027640e+000	4.388831e-001
4.630000000099946e+000	2.027640e+000	4.379352e-001
4.640000000099946e+000	2.027640e+000	4.369914e-001
4.650000000099945e+000	2.027650e+000	4.360537e-001
4.660000000099945e+000	2.027652e+000	4.351185e-001
4.670000000099945e+000	2.028730e+000	4.344175e-001
4.680000000099945e+000	2.027645e+000	4.332575e-001
4.690000000099944e+000	2.027644e+000	4.323334e-001
4.700000000099944e+000	2.027648e+000	4.314145e-001
4.710000000099944e+000	2.027642e+000	4.304972e-001
4.720000000099944e+000	2.027642e+000	4.295852e-001
4.730000000099944e+000	2.027645e+000	4.286776e-001
4.740000000099943e+000	2.027643e+000	4.277727e-001
4.750000000099943e+000	2.027643e+000	4.268722e-001
4.760000000099943e+000	2.027643e+000	4.259754e-001
4.770000000099943e+000	2.027643e+000	4.250824e-001
4.780000000099943e+000	2.027643e+000	4.241932e-001
4.790000000099942e+000	2.027644e+000	4.233077e-001
4.800000000099942e+000	2.027644e+000	4.224258e-001
4.810000000099942e+000	2.027644e+000	4.215477e-001
4.820000000099942e+000	2.027644e+000	4.206731e-001
4.830000000099942e+000	2.027645e+000	4.198022e-001
