riadj	-I(Rl)
4.800000000000100e+003	6.033898e-001
4.810000000000100e+003	6.025019e-001
4.820000000000100e+003	6.016167e-001
4.830000000000100e+003	6.007341e-001
4.840000000000100e+003	5.998541e-001
4.850000000000100e+003	5.989766e-001
4.860000000000100e+003	5.981017e-001
4.870000000000100e+003	5.972292e-001
4.880000000000100e+003	5.963594e-001
4.890000000000100e+003	5.954921e-001
4.900000000000100e+003	5.946273e-001
4.910000000000100e+003	5.937650e-001
4.920000000000100e+003	5.929052e-001
4.930000000000100e+003	5.920479e-001
4.940000000000100e+003	5.911931e-001
4.950000000000100e+003	5.903406e-001
4.960000000000100e+003	5.894907e-001
4.970000000000100e+003	5.886433e-001
4.980000000000100e+003	5.877981e-001
4.990000000000100e+003	5.869555e-001
5.000000000000100e+003	5.861152e-001
5.010000000000100e+003	5.852774e-001
5.020000000000100e+003	5.844420e-001
5.030000000000100e+003	5.836089e-001
5.040000000000100e+003	5.827780e-001
