time	-I(Rl)	V(vout)
4.000059243621085e-03	1.931110e-10	1.911990e+00
4.000067738110382e-03	1.925283e-10	1.906221e+00
4.000080157993140e-03	1.916792e-10	1.897814e+00
4.000099173362218e-03	1.903852e-10	1.885002e+00
4.000118719997089e-03	1.890631e-10	1.871912e+00
4.000138315589963e-03	1.877479e-10	1.858890e+00
4.000157255901692e-03	1.864878e-10	1.846414e+00
4.000173474369148e-03	1.854194e-10	1.835836e+00
4.000189648253960e-03	1.843657e-10	1.825403e+00
4.000208014500488e-03	1.831831e-10	1.813694e+00
4.000225714539500e-03	1.820588e-10	1.802563e+00
4.000246495825895e-03	1.807627e-10	1.789730e+00
4.000267961259038e-03	1.795319e-10	1.777544e+00
4.000288280605304e-03	1.786098e-10	1.768414e+00
4.000311349199196e-03	1.777197e-10	1.759601e+00
4.000333408618900e-03	1.767229e-10	1.749732e+00
4.000358102247270e-03	1.754007e-10	1.736641e+00
4.000383081116364e-03	1.739765e-10	1.722540e+00
4.000415226918671e-03	1.721165e-10	1.704124e+00
4.000444701373763e-03	1.704256e-10	1.687382e+00
4.000476366973379e-03	1.686378e-10	1.669681e+00
4.000505022074401e-03	1.670520e-10	1.653981e+00
4.000544101014869e-03	1.649411e-10	1.633080e+00
4.000598287425820e-03	1.620949e-10	1.604900e+00
4.000654216345483e-03	1.592545e-10	1.576777e+00
4.000722716737225e-03	1.559098e-10	1.543661e+00
4.000802433887040e-03	1.522083e-10	1.507013e+00
4.000941232728235e-03	1.461485e-10	1.447015e+00
4.001085005402574e-03	1.403953e-10	1.390053e+00
4.001372550751253e-03	1.301792e-10	1.288903e+00
4.001733138040139e-03	1.192411e-10	1.180606e+00
4.002304363809670e-03	1.051111e-10	1.040704e+00
4.002958243746399e-03	9.215090e-11	9.123852e-01
4.003552900251970e-03	8.279890e-11	8.197913e-01
4.004119642620247e-03	7.569177e-11	7.494236e-01
4.004764334992693e-03	6.900244e-11	6.831924e-01
4.005027910347408e-03	6.666436e-11	6.600433e-01
4.005302609761362e-03	6.452914e-11	6.389025e-01
4.005570951887767e-03	6.262879e-11	6.200872e-01
4.005793209735754e-03	6.119005e-11	6.058421e-01
4.006000283178946e-03	5.996106e-11	5.936740e-01
4.006225005036415e-03	5.873991e-11	5.815834e-01
4.006494240350913e-03	5.740678e-11	5.683841e-01
4.006746970430346e-03	5.628521e-11	5.572795e-01
4.007106354870084e-03	5.487622e-11	5.433289e-01
4.007437362035357e-03	5.376785e-11	5.323548e-01
4.008022160883968e-03	5.216090e-11	5.164444e-01
4.008551300651273e-03	5.108133e-11	5.057557e-01
4.009311542739312e-03	5.031973e-11	4.982151e-01
4.009796900384714e-03	5.102660e-11	5.052139e-01
4.010417892748717e-03	5.421463e-11	5.367786e-01
4.010788309677558e-03	5.745299e-11	5.688416e-01
4.011079399309753e-03	6.064000e-11	6.003962e-01
