time	V(in)	V(out)
1.518677646394811e-003	1.000000000000000e+000	2.870746012221552e+001
1.518777646394811e-003	1.000000000000000e+000	2.870745618563392e+001
1.518877646394811e-003	1.000000000000000e+000	2.870745225309345e+001
1.518977646394811e-003	1.000000000000000e+000	2.870744832442187e+001
1.519077646394811e-003	1.000000000000000e+000	2.870744439947868e+001
1.519177646394811e-003	1.000000000000000e+000	2.870744047810304e+001
1.519277646394811e-003	1.000000000000000e+000	2.870743656016544e+001
1.519377646394811e-003	1.000000000000000e+000	2.870743264551780e+001
1.519477646394811e-003	1.000000000000000e+000	2.870742873404023e+001
1.519577646394811e-003	1.000000000000000e+000	2.870742482559670e+001
1.519677646394811e-003	1.000000000000000e+000	2.870742092007858e+001
1.519777646394811e-003	1.000000000000000e+000	2.870741701735993e+001
1.519877646394811e-003	1.000000000000000e+000	2.870741311733944e+001
1.519977646394811e-003	1.000000000000000e+000	2.870740921990066e+001
1.520077646394811e-003	1.000000000000000e+000	2.870740532495024e+001
1.520177646394811e-003	1.000000000000000e+000	2.870740143238033e+001
1.520277646394811e-003	1.000000000000000e+000	2.870739754210464e+001
1.520377646394811e-003	1.000000000000000e+000	2.870739365402395e+001
1.520477646394811e-003	1.000000000000000e+000	2.870738976806032e+001
1.520577646394811e-003	1.000000000000000e+000	2.870738588412251e+001
1.520677646394811e-003	1.000000000000000e+000	2.870738200213735e+001
1.520777646394811e-003	1.000000000000000e+000	2.870737812202017e+001
1.520877646394811e-003	1.000000000000000e+000	2.870737424370409e+001
1.520977646394811e-003	1.000000000000000e+000	2.870737036711030e+001
1.521077646394811e-003	1.000000000000000e+000	2.870736649217744e+001
1.521177646394811e-003	1.000000000000000e+000	2.870736261883403e+001
1.521277646394811e-003	1.000000000000000e+000	2.870735874702186e+001
1.521377646394811e-003	1.000000000000000e+000	2.870735487667427e+001
1.521477646394811e-003	1.000000000000000e+000	2.870735100774020e+001
1.521577646394811e-003	1.000000000000000e+000	2.870734714015834e+001
1.521677646394811e-003	1.000000000000000e+000	2.870734327388028e+001
1.521777646394811e-003	1.000000000000000e+000	2.870733940884835e+001
1.521877646394811e-003	1.000000000000000e+000	2.870733554501743e+001
1.521977646394811e-003	1.000000000000000e+000	2.870733168233602e+001
1.522077646394811e-003	1.000000000000000e+000	2.870732782076371e+001
1.522177646394811e-003	1.000000000000000e+000	2.870732396025248e+001
1.522277646394811e-003	1.000000000000000e+000	2.870732010076421e+001
1.522377646394811e-003	1.000000000000000e+000	2.870731624225374e+001
1.522477646394811e-003	1.000000000000000e+000	2.870731238468618e+001
1.522577646394811e-003	1.000000000000000e+000	2.870730852802058e+001
1.522677646394811e-003	1.000000000000000e+000	2.870730467222499e+001
1.522777646394811e-003	1.000000000000000e+000	2.870730081726141e+001
1.522877646394811e-003	1.000000000000000e+000	2.870729696310002e+001
