time	V(vout)
1.619552390711976e+000	2.832910e-002
1.621013819283414e+000	3.103335e-002
1.622475247854853e+000	3.364158e-002
1.623936676426291e+000	3.615381e-002
1.625398104997729e+000	3.857002e-002
1.626859533569167e+000	4.089022e-002
1.626869533569167e+000	4.090584e-002
1.628330962140605e+000	4.313956e-002
1.629792390712043e+000	4.529457e-002
1.631253819283481e+000	4.737086e-002
1.632715247854920e+000	4.936845e-002
1.634176676426358e+000	5.128732e-002
1.635638104997796e+000	5.312748e-002
1.637099533569234e+000	5.488893e-002
1.637109533569234e+000	5.490077e-002
1.638570962140672e+000	5.659143e-002
1.640032390712110e+000	5.821773e-002
1.641493819283548e+000	5.977967e-002
1.642955247854987e+000	6.127726e-002
1.644416676426425e+000	6.271049e-002
1.645878104997863e+000	6.407936e-002
1.647339533569301e+000	6.538387e-002
1.647349533569301e+000	6.539263e-002
1.648810962140739e+000	6.663936e-002
1.650272390712178e+000	6.783365e-002
1.651733819283616e+000	6.897549e-002
1.653195247855054e+000	7.006488e-002
1.654656676426492e+000	7.110182e-002
1.656118104997930e+000	7.208630e-002
1.657579533569368e+000	7.301834e-002
1.657589533569368e+000	7.302459e-002
1.659050962140806e+000	7.390963e-002
1.660512390712245e+000	7.475210e-002
1.661973819283683e+000	7.555199e-002
1.663435247855121e+000	7.630929e-002
1.664896676426559e+000	7.702401e-002
1.666358104997997e+000	7.769615e-002
1.667819533569435e+000	7.832571e-002
1.667829533569435e+000	7.832991e-002
1.669290962140873e+000	7.892141e-002
1.670752390712312e+000	7.947850e-002
1.672213819283750e+000	8.000118e-002
1.673675247855188e+000	8.048945e-002
1.675136676426626e+000	8.094330e-002
1.676598104998064e+000	8.136274e-002
1.678059533569502e+000	8.174776e-002
1.678069533569502e+000	8.175031e-002
1.679530962140940e+000	8.210468e-002
1.680992390712379e+000	8.243138e-002
1.682453819283817e+000	8.273043e-002
1.683915247855255e+000	8.300182e-002
1.685376676426693e+000	8.324555e-002
1.686838104998131e+000	8.346162e-002
1.688299533569569e+000	8.365003e-002
1.688309533569570e+000	8.365124e-002
1.689770962141008e+000	8.381510e-002
1.691232390712446e+000	8.395688e-002
1.692693819283884e+000	8.407657e-002
1.694155247855322e+000	8.417418e-002
1.695616676426760e+000	8.424971e-002
1.697078104998198e+000	8.430316e-002
1.698539533569637e+000	8.433452e-002
1.698549533569637e+000	8.433468e-002
1.700010962141075e+000	8.434653e-002
1.701472390712513e+000	8.434090e-002
1.702933819283951e+000	8.431779e-002
1.704395247855389e+000	8.427719e-002
1.705856676426827e+000	8.421912e-002
1.707318104998266e+000	8.414356e-002
1.708779533569704e+000	8.405052e-002
1.708789533569704e+000	8.404984e-002
1.710250962141142e+000	8.394145e-002
1.711712390712580e+000	8.381936e-002
1.713173819284018e+000	8.368359e-002
1.714635247855456e+000	8.353412e-002
1.716096676426894e+000	8.337096e-002
1.717558104998333e+000	8.319411e-002
1.719019533569771e+000	8.300357e-002
1.719029533569771e+000	8.300224e-002
1.720490962141209e+000	8.279976e-002
1.721952390712647e+000	8.258672e-002
1.723413819284085e+000	8.236310e-002
1.724875247855523e+000	8.212892e-002
1.726336676426961e+000	8.188416e-002
1.727798104998400e+000	8.162883e-002
1.729259533569838e+000	8.136293e-002
1.729269533569838e+000	8.136109e-002
1.730730962141276e+000	8.108607e-002
1.732192390712714e+000	8.080304e-002
1.733653819284152e+000	8.051200e-002
1.735115247855591e+000	8.021296e-002
1.736576676427029e+000	7.990590e-002
1.738038104998467e+000	7.959084e-002
1.739499533569905e+000	7.926777e-002
1.739509533569905e+000	7.926554e-002
1.740970962141343e+000	7.893566e-002
1.742432390712781e+000	7.859987e-002
1.743893819284219e+000	7.825818e-002
1.745355247855658e+000	7.791058e-002
1.746816676427096e+000	7.755707e-002
1.748278104998534e+000	7.719765e-002
1.749739533569972e+000	7.683232e-002
1.749749533569972e+000	7.682981e-002
1.751210962141410e+000	7.645956e-002
1.752672390712848e+000	7.608512e-002
1.754133819284286e+000	7.570649e-002
1.755595247855725e+000	7.532367e-002
1.757056676427163e+000	7.493666e-002
1.758518104998601e+000	7.454546e-002
1.759979533570039e+000	7.415006e-002
1.759989533570039e+000	7.414735e-002
1.761450962141477e+000	7.374858e-002
1.762912390712915e+000	7.334701e-002
1.764373819284353e+000	7.294265e-002
1.765835247855792e+000	7.253550e-002
1.767296676427230e+000	7.212555e-002
1.768758104998668e+000	7.171281e-002
1.770219533570106e+000	7.129727e-002
1.770229533570106e+000	7.129443e-002
1.771690962141544e+000	7.087676e-002
1.773152390712983e+000	7.045744e-002
1.774613819284421e+000	7.003645e-002
1.776075247855859e+000	6.961381e-002
1.777536676427297e+000	6.918950e-002
1.778998104998735e+000	6.876353e-002
1.780459533570173e+000	6.833591e-002
1.780469533570173e+000	6.833299e-002
1.781930962141611e+000	6.790424e-002
1.783392390713050e+000	6.747474e-002
1.784853819284488e+000	6.704450e-002
1.786315247855926e+000	6.661350e-002
1.787776676427364e+000	6.618176e-002
1.789238104998802e+000	6.574927e-002
1.790699533570240e+000	6.531604e-002
1.790709533570240e+000	6.531307e-002
1.792170962141678e+000	6.487953e-002
1.793632390713117e+000	6.444597e-002
1.795093819284555e+000	6.401239e-002
1.796555247855993e+000	6.357879e-002
1.798016676427431e+000	6.314517e-002
1.799478104998869e+000	6.271154e-002
1.800939533570307e+000	6.227788e-002
1.800949533570307e+000	6.227492e-002
1.802410962141746e+000	6.184160e-002
1.803872390713184e+000	6.140885e-002
1.805333819284622e+000	6.097665e-002
1.806795247856060e+000	6.054502e-002
1.808256676427498e+000	6.011394e-002
1.809718104998936e+000	5.968343e-002
1.811179533570374e+000	5.925347e-002
1.811189533570375e+000	5.925053e-002
1.812650962141813e+000	5.882143e-002
1.814112390713251e+000	5.839333e-002
1.815573819284689e+000	5.796625e-002
1.817035247856127e+000	5.754019e-002
1.818496676427565e+000	5.711514e-002
1.819958104999004e+000	5.669110e-002
1.821419533570442e+000	5.626808e-002
1.821429533570442e+000	5.626519e-002
1.822890962141880e+000	5.584341e-002
1.824352390713318e+000	5.542299e-002
1.825813819284756e+000	5.500394e-002
1.827275247856194e+000	5.458625e-002
1.828736676427632e+000	5.416993e-002
1.830198104999071e+000	5.375497e-002
1.831659533570509e+000	5.334138e-002
1.831669533570509e+000	5.333856e-002
1.833130962141947e+000	5.292651e-002
1.834592390713385e+000	5.251609e-002
1.836053819284823e+000	5.210730e-002
1.837515247856261e+000	5.170014e-002
1.838976676427699e+000	5.129461e-002
1.840438104999138e+000	5.089071e-002
1.841899533570576e+000	5.048845e-002
1.841909533570576e+000	5.048570e-002
1.843370962142014e+000	5.008520e-002
1.844832390713452e+000	4.968653e-002
1.846293819284890e+000	4.928968e-002
1.847755247856328e+000	4.889466e-002
1.849216676427766e+000	4.850146e-002
1.850678104999205e+000	4.811009e-002
1.852139533570643e+000	4.772055e-002
1.852149533570643e+000	4.771789e-002
1.853610962142081e+000	4.733028e-002
1.855072390713519e+000	4.694463e-002
1.856533819284957e+000	4.656095e-002
1.857995247856396e+000	4.617923e-002
1.859456676427834e+000	4.579948e-002
1.860918104999272e+000	4.542169e-002
1.862379533570710e+000	4.504587e-002
1.862389533570710e+000	4.504330e-002
1.863850962142148e+000	4.466952e-002
1.865312390713586e+000	4.429780e-002
1.866773819285024e+000	4.392813e-002
1.868235247856463e+000	4.356052e-002
1.869696676427901e+000	4.319496e-002
1.871158104999339e+000	4.283146e-002
1.872619533570777e+000	4.247002e-002
1.872629533570777e+000	4.246755e-002
1.874090962142215e+000	4.210822e-002
1.875552390713653e+000	4.175101e-002
1.877013819285091e+000	4.139590e-002
1.878475247856530e+000	4.104290e-002
1.879936676427968e+000	4.069202e-002
1.881398104999406e+000	4.034324e-002
1.882859533570844e+000	3.999658e-002
1.882869533570844e+000	3.999421e-002
1.893109533570911e+000	3.762516e-002
1.903349533570978e+000	3.536095e-002
1.913589533571045e+000	3.320106e-002
1.923829533571112e+000	3.114410e-002
1.934069533571180e+000	2.918804e-002
1.944309533571247e+000	2.733034e-002
1.954549533571314e+000	2.556807e-002
1.964789533571381e+000	2.389804e-002
1.975029533571448e+000	2.231684e-002
1.985269533571515e+000	2.082096e-002
1.995509533571582e+000	1.940684e-002
2.005749533571649e+000	1.807085e-002
2.015989533571716e+000	1.680944e-002
2.026229533571783e+000	1.561905e-002
2.036469533571850e+000	1.449622e-002
2.046709533571917e+000	1.343757e-002
2.056949533571984e+000	1.243981e-002
2.067189533572051e+000	1.149978e-002
2.077429533572119e+000	1.061440e-002
2.087669533572186e+000	9.780733e-003
2.097909533572253e+000	8.995968e-003
2.108149533572320e+000	8.257406e-003
2.118389533572387e+000	7.562473e-003
2.128629533572454e+000	6.908716e-003
2.138869533572521e+000	6.293800e-003
2.149109533572588e+000	5.715507e-003
2.159349533572655e+000	5.171733e-003
2.169589533572722e+000	4.660480e-003
2.179829533572789e+000	4.179857e-003
2.190069533572856e+000	3.728074e-003
2.200309533572924e+000	3.303437e-003
2.210549533572991e+000	2.904347e-003
2.220789533573058e+000	2.529291e-003
2.231029533573125e+000	2.176844e-003
2.241269533573192e+000	1.845657e-003
2.251509533573259e+000	1.534462e-003
2.261749533573326e+000	1.242062e-003
2.271989533573393e+000	9.673280e-004
2.282229533573460e+000	7.091979e-004
2.283690962144898e+000	6.736599e-004
2.285152390716336e+000	6.384300e-004
2.286613819287775e+000	6.035080e-004
2.288075247859213e+000	5.688941e-004
2.289536676430651e+000	5.345882e-004
2.290998105002089e+000	5.005903e-004
2.292459533573527e+000	4.669004e-004
2.292469533573527e+000	4.666708e-004
2.293930962144966e+000	4.332812e-004
2.295392390716403e+000	4.001809e-004
