time	-I(Rl)	V(vout)
2.126799585981001e-03	2.278134e-01	2.278134e-04
2.132814804322585e-03	2.231198e-01	2.231198e-04
2.139144477979839e-03	2.193634e-01	2.193634e-04
2.145473976937953e-03	2.163923e-01	2.163923e-04
2.152092884998865e-03	2.136654e-01	2.136654e-04
2.158928822498866e-03	2.118782e-01	2.118782e-04
2.165764759998865e-03	2.099694e-01	2.099694e-04
2.172600697498865e-03	2.090542e-01	2.090543e-04
2.179049622873566e-03	2.077710e-01	2.077711e-04
2.185417472696961e-03	2.072796e-01	2.072796e-04
2.191906081372328e-03	2.066244e-01	2.066244e-04
2.198708491835352e-03	2.060694e-01	2.060694e-04
2.205544429335352e-03	2.058392e-01	2.058392e-04
2.212380366835352e-03	2.052753e-01	2.052754e-04
2.219216304335352e-03	2.053849e-01	2.053850e-04
2.225313258071398e-03	2.048022e-01	2.048022e-04
2.231456834074440e-03	2.051661e-01	2.051661e-04
2.237017723018236e-03	2.047081e-01	2.047081e-04
2.242795289812901e-03	2.047280e-01	2.047281e-04
2.248425228500693e-03	2.047700e-01	2.047700e-04
2.254095710641618e-03	2.043479e-01	2.043479e-04
2.259831619484883e-03	2.048451e-01	2.048451e-04
2.264754181169891e-03	2.040258e-01	2.040258e-04
2.269131165767934e-03	2.047707e-01	2.047708e-04
2.273576996124093e-03	2.043766e-01	2.043766e-04
2.277957918738741e-03	2.042454e-01	2.042454e-04
2.282132736482756e-03	2.049360e-01	2.049360e-04
2.286106410857123e-03	2.035853e-01	2.035853e-04
2.289404481795806e-03	2.049365e-01	2.049365e-04
2.292774890700560e-03	2.043942e-01	2.043942e-04
2.296060880558181e-03	2.036537e-01	2.036537e-04
2.299232271105776e-03	2.058099e-01	2.058099e-04
2.301822981493654e-03	2.036838e-01	2.036838e-04
2.304520156568505e-03	2.038872e-01	2.038872e-04
2.307083347517263e-03	2.059720e-01	2.059720e-04
2.309717601267206e-03	2.028603e-01	2.028603e-04
2.312108390560964e-03	2.043744e-01	2.043744e-04
2.314266926859422e-03	2.064321e-01	2.064321e-04
2.316632320969254e-03	2.019455e-01	2.019455e-04
2.318489248813097e-03	2.033568e-01	2.033568e-04
2.320448689767328e-03	2.071473e-01	2.071473e-04
2.322452091445677e-03	2.027357e-01	2.027357e-04
2.324302728164324e-03	2.021237e-01	2.021237e-04
2.326124330813409e-03	2.081469e-01	2.081469e-04
2.327648073384809e-03	2.058403e-01	2.058403e-04
2.329297087928393e-03	1.998051e-01	1.998051e-04
2.330775077004856e-03	2.045010e-01	2.045010e-04
2.332275492196986e-03	2.093489e-01	2.093490e-04
2.333779981626344e-03	2.023631e-01	2.023631e-04
2.335144225220249e-03	1.987673e-01	1.987674e-04
2.336616619529836e-03	2.077060e-01	2.077060e-04
2.337852139057167e-03	2.108015e-01	2.108015e-04
2.339273866368534e-03	2.001016e-01	2.001016e-04
2.340349941330782e-03	1.963269e-01	1.963269e-04
2.341666271785845e-03	2.070334e-01	2.070334e-04
2.342796162875848e-03	2.130284e-01	2.130284e-04
2.344085372626135e-03	2.035883e-01	2.035884e-04
2.345373234946603e-03	1.950452e-01	1.950452e-04
2.346534677513572e-03	2.034738e-01	2.034738e-04
2.347764871162826e-03	2.145441e-01	2.145441e-04
2.348932147954144e-03	2.070770e-01	2.070770e-04
2.350038462004002e-03	1.927378e-01	1.927379e-04
2.350998397890205e-03	1.948318e-01	1.948318e-04
2.351993424926778e-03	2.124433e-01	2.124433e-04
2.352821409181100e-03	2.198302e-01	2.198302e-04
2.353812258311328e-03	2.072323e-01	2.072324e-04
2.354661100808897e-03	1.911999e-01	1.911999e-04
2.355569770294018e-03	1.894419e-01	1.894419e-04
2.356435409103633e-03	2.074478e-01	2.074479e-04
2.357158149798964e-03	2.226189e-01	2.226190e-04
2.357996095485040e-03	2.198631e-01	2.198632e-04
2.358782958616169e-03	2.004627e-01	2.004627e-04
2.359543736608994e-03	1.843176e-01	1.843177e-04
2.360397763804608e-03	1.885102e-01	1.885102e-04
2.361255180070724e-03	2.135008e-01	2.135008e-04
2.361954483569612e-03	2.292506e-01	2.292507e-04
2.362734608938321e-03	2.222263e-01	2.222263e-04
2.363378623304207e-03	2.012870e-01	2.012870e-04
2.364064184124385e-03	1.811517e-01	1.811517e-04
2.364860485865763e-03	1.804725e-01	1.804725e-04
2.365676911486678e-03	2.074725e-01	2.074725e-04
2.366282082954162e-03	2.320313e-01	2.320313e-04
2.366880020430546e-03	2.387459e-01	2.387459e-04
2.367405566659696e-03	2.246368e-01	2.246369e-04
2.367981427896191e-03	1.995730e-01	1.995731e-04
2.368741835615648e-03	1.742874e-01	1.742874e-04
2.369485265736041e-03	1.755947e-01	1.755947e-04
2.370314414210381e-03	2.109798e-01	2.109798e-04
2.370878808722627e-03	2.396851e-01	2.396851e-04
2.371417770498872e-03	2.485472e-01	2.485472e-04
2.371840123128486e-03	2.363862e-01	2.363862e-04
2.372328610071852e-03	2.111460e-01	2.111461e-04
2.372996789704649e-03	1.780640e-01	1.780640e-04
2.373613401709942e-03	1.619641e-01	1.619641e-04
2.374301563139607e-03	1.754958e-01	1.754958e-04
2.375043170603624e-03	2.231085e-01	2.231085e-04
2.375484311607313e-03	2.512763e-01	2.512764e-04
2.375979968676846e-03	2.601371e-01	2.601372e-04
2.376330852176875e-03	2.483840e-01	2.483840e-04
2.376740926168860e-03	2.235119e-01	2.235119e-04
2.377248117643491e-03	1.916357e-01	1.916357e-04
2.377789676796572e-03	1.647627e-01	1.647627e-04
2.378472791353673e-03	1.532200e-01	1.532200e-04
2.379123448318530e-03	1.791092e-01	1.791092e-04
2.379799474580821e-03	2.393324e-01	2.393324e-04
2.380179077895912e-03	2.675296e-01	2.675297e-04
2.380637217610742e-03	2.731684e-01	2.731684e-04
2.380928614958736e-03	2.604795e-01	2.604795e-04
2.381278953967517e-03	2.355359e-01	2.355360e-04
2.381682560205138e-03	2.056864e-01	2.056864e-04
2.382126069474990e-03	1.773403e-01	1.773403e-04
2.382921033018478e-03	1.453417e-01	1.453418e-04
2.383584934730686e-03	1.535967e-01	1.535967e-04
2.384223641719268e-03	2.091509e-01	2.091509e-04
2.384612800393043e-03	2.605545e-01	2.605545e-04
2.384891355140096e-03	2.885727e-01	2.885727e-04
2.385173656400918e-03	2.955561e-01	2.955561e-04
2.385390003750292e-03	2.877591e-01	2.877591e-04
2.385629819437177e-03	2.708319e-01	2.708320e-04
2.386109450810947e-03	2.316981e-01	2.316981e-04
2.386574503081941e-03	1.954371e-01	1.954372e-04
2.387175980040542e-03	1.569166e-01	1.569166e-04
2.387869176707101e-03	1.299425e-01	1.299425e-04
2.388409152393638e-03	1.378612e-01	1.378613e-04
2.388912723905504e-03	1.887275e-01	1.887275e-04
2.389324298103998e-03	2.601328e-01	2.601328e-04
2.389547988704549e-03	2.953655e-01	2.953656e-04
2.389851735099736e-03	3.182789e-01	3.182789e-04
2.390021248980237e-03	3.165340e-01	3.165340e-04
2.390259220299103e-03	3.003994e-01	3.003994e-04
2.390494120282999e-03	2.796151e-01	2.796152e-04
2.390818400158490e-03	2.490222e-01	2.490222e-04
